Modèle,Accuracy (%),Precision (%),Recall (%),F1-Score (%),CV Score (%),CV Std,Temps (s)
Naive Bayes,96.66666666666667,96.96969696969695,96.66666666666667,96.65831244778613,95.83333333333334,0.026352313834736508,0.000997304916381836
SVM,96.66666666666667,96.96969696969695,96.66666666666667,96.65831244778613,96.66666666666669,0.031180478223116186,0.04288482666015625
Neural Network,96.66666666666667,96.96969696969695,96.66666666666667,96.65831244778613,95.83333333333334,0.026352313834736508,0.3202788829803467
KNN Optimisé,93.33333333333333,94.44444444444446,93.33333333333333,93.26599326599326,96.66666666666669,0.031180478223116186,0.0
Logistic Regression,93.33333333333333,93.33333333333333,93.33333333333333,93.33333333333333,95.83333333333334,0.026352313834736508,0.030518293380737305
Decision Tree,93.33333333333333,93.33333333333333,93.33333333333333,93.33333333333333,94.16666666666667,0.020412414523193187,0.0066797733306884766
Random Forest,90.0,90.23569023569024,90.0,89.9749373433584,95.0,0.016666666666666698,0.17157649993896484
